SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,date_collected
MLS Listing,,Single Family Residential,1008 Regency Cottage Pl,Cary,NC,27518,505858,4,4,Renaissance at Regency,3138,5009,2017,126,161,230,Active,,,http://www.redfin.com/NC/Cary/1008-Regency-Cottage-Pl-27518/home/104515153,TMLS,2104095,N,Y,35.7274,-78.8058,5/10/2017
MLS Listing,,Single Family Residential,1014 Regency Cottage Pl,Cary,NC,27518,492254,4,4,Renaissance at Regency,3183,3746,2017,53,155,19,Active,,,http://www.redfin.com/NC/Cary/1014-Regency-Cottage-Pl-27518/home/104515158,TMLS,2116774,N,Y,35.7274,-78.8058,5/10/2017
MLS Listing,,Single Family Residential,962 Regency Cottage Pl,Cary,NC,27518,424990,4,3,Renaissance at Regency,2671,4660,2017,285,159,230,Active,,,http://www.redfin.com/NC/Cary/962-Regency-Cottage-Pl-27518/home/104515175,TMLS,2081779,N,Y,35.72681957,-78.80867985,5/10/2017
MLS Listing,,Single Family Residential,956 Regency Cottage Pl,Cary,NC,27518,447340,4,4,Renaissance at Regency,3176,4660,2017,239,141,230,Active,,,http://www.redfin.com/NC/Cary/956-Regency-Cottage-Pl-27518/home/104515183,TMLS,2089658,N,Y,35.72695944,-78.80754554,5/10/2017
MLS Listing,,Single Family Residential,958 Regency Cottage Pl,Cary,NC,27518,429990,4,3,Renaissance at Regency,2676,4268,2017,285,161,230,Active,,,http://www.redfin.com/NC/Cary/958-Regency-Cottage-Pl-27518/home/104515187,TMLS,2081800,N,Y,35.72686364,-78.80759919,5/10/2017
MLS Listing,,Single Family Residential,316 Springhurst Ln,Cary,NC,27518,485440,4,3,Wake,3027,8058,2017,141,160,50,Active,,,http://www.redfin.com/NC/Cary/1607-Kildaire-Farm-Rd-27511/home/105299254,TMLS,2102956,N,Y,35.7467,-78.7793,5/10/2017
MLS Listing,,Single Family Residential,1725 SE Cary Pkwy,Raleigh,NC,27606,482990,4,5,Wake,3411,8712,2016,226,142,105,Active,May-13-2017 08:30 AM,May-13-2017 01:00 PM,http://www.redfin.com/NC/Raleigh/1725-SE-Cary-Pkwy-27606/home/108234815,TMLS,2091675,N,Y,35.73729,-78.743992,5/10/2017
MLS Listing,,Single Family Residential,416 Whispering Hills Ct,Cary,NC,27519,649780,4,3,Chatham,2825,22651,2017,31,230,61,Active,May-13-2017 09:00 AM,May-13-2017 01:00 PM,http://www.redfin.com/NC/Cary/416-Whispering-Hills-Ct-27519/home/108441810,TMLS,2121122,N,Y,35.845465,-78.911115,5/10/2017
MLS Listing,,Single Family Residential,1353 Magnolia Bend Loop,Cary,NC,27519,595000,4,5,Southerlyn,3500,8712,2016,272,170,85,Active,,,http://www.redfin.com/NC/Cary/1353-Magnolia-Bend-Loop-27519/home/108556744,TMLS,2083981,N,Y,35.80727005,-78.88666534,5/10/2017
MLS Listing,,Single Family Residential,7725 Green Hope School Rd,Cary,NC,27519,745000,4,5,Custom Homes,3954,10018,2016,250,188,50,Active,May-13-2017 10:00 AM,May-13-2017 02:00 PM,http://www.redfin.com/NC/Cary/7725-Green-Hope-School-Rd-27519/home/108957089,TMLS,2087891,N,Y,35.805596,-78.882021,5/10/2017
