SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-24-2017,Single Family Residential,41851 Raspberry Dr,Leesburg,VA,20176,630000,4,3.5,Plains Of Raspberry,3170,45738,1996,60,199,192,Sold,,,http://www.redfin.com/VA/Leesburg/41851-Raspberry-Dr-20176/home/12004015,MRIS,LO9850822,N,Y,39.1531614,-77.5522461
MLS Listing,,Single Family Residential,42000 Raspberry Dr,Leesburg,VA,20176,650000,4,3.5,Raspberry Falls,3380,54886,1999,11,192,192,Active,,,http://www.redfin.com/VA/Leesburg/42000-Raspberry-Dr-20176/home/12004034,MRIS,LO9945915,N,Y,39.153173,-77.5473729
MLS Listing,,Single Family Residential,41951 Saddlebrook Pl,Leesburg,VA,20176,775000,4,4.5,Saddlebrook,4329,132858,1996,4,179,,Active,,,http://www.redfin.com/VA/Leesburg/41951-Saddlebrook-Pl-20176/home/12004062,MRIS,LO9952223,N,Y,39.1474227,-77.5492472
PAST SALE,May-12-2017,Single Family Residential,103 Stone Ct NE,Leesburg,VA,20176,495000,4,3.5,Potomac Crossing,2780,7841,1998,11,178,53,Sold,,,http://www.redfin.com/VA/Leesburg/103-Stone-Ct-NE-20176/home/12004184,MRIS,LO9886313,N,Y,39.1295409,-77.5408694
PAST SALE,,Single Family Residential,42184 Maple View Ln,Leesburg,VA,20176,675000,,2.5,,3652,700445,1982,,185,,,,,http://www.redfin.com/VA/Leesburg/42184-Maple-View-Ln-20176/home/12004233,,,N,Y,39.138899,-77.538584
PAST SALE,March-15-2017,Single Family Residential,602 Marshall Dr NE,Leesburg,VA,20176,545000,4,3.5,Exeter Hills,3680,10454,1999,69,148,,Sold,,,http://www.redfin.com/VA/Leesburg/602-Marshall-Dr-NE-20176/home/12004275,MRIS,LO9831411,N,Y,39.119284,-77.552292
MLS Listing,,Single Family Residential,732 Catoctin Cir NE,Leesburg,VA,20176,499900,4,2.5,Exeter,2436,5227,1992,40,205,52,Active,,,http://www.redfin.com/VA/Leesburg/732-Catoctin-Cir-NE-20176/home/12005464,MRIS,LO9915777,N,Y,39.1272387,-77.5490589
MLS Listing,,Single Family Residential,717 Foxtail Cir NE,Leesburg,VA,20176,489000,4,2.5,Exeter,2066,6098,1993,10,237,54,Active,,,http://www.redfin.com/VA/Leesburg/717-Foxtail-Cir-NE-20176/home/12005505,MRIS,LO9946202,N,Y,39.1287097,-77.5472683
PAST SALE,March-9-2017,Single Family Residential,1251 Barksdale Dr NE,Leesburg,VA,20176,487000,4,3.5,Potomac Crossing,2874,7841,1997,75,169,54,Sold,,,http://www.redfin.com/VA/Leesburg/1251-Barksdale-Dr-NE-20176/home/12005545,MRIS,LO9806133,N,Y,39.129011,-77.542543
PAST SALE,March-31-2017,Single Family Residential,1301 Featherstone Ln NE,Leesburg,VA,20176,470000,4,2.5,Potomac Crossing,2646,9583,1998,53,178,53,Sold,,,http://www.redfin.com/VA/Leesburg/1301-Featherstone-Ln-NE-20176/home/12005666,MRIS,LO9860612,N,Y,39.1275389,-77.5378604
PAST SALE,,Single Family Residential,203 Prince St NE,Leesburg,VA,20176,335000,2,1,,1306,13504,1954,,257,,,,,http://www.redfin.com/VA/Leesburg/203-Prince-St-NE-20176/home/12006140,,,N,Y,39.115091,-77.554011
MLS Listing,,Single Family Residential,104 Catoctin Cir NE,Leesburg,VA,20176,402800,4,4,Lowenbach Subdivision,3872,7841,1989,53,104,,Active,,,http://www.redfin.com/VA/Leesburg/104-Catoctin-Cir-NE-20176/home/12006177,MRIS,LO9903314,N,Y,39.1136027,-77.5521413
PAST SALE,April-27-2017,Single Family Residential,206 Plaza St NE,Leesburg,VA,20176,351000,4,2,Carrvale Subdivision,1898,10454,1979,26,185,,Sold,,,http://www.redfin.com/VA/Leesburg/206-Plaza-St-NE-20176/home/12006750,MRIS,LO9865265,N,Y,39.1174748,-77.5470317
PAST SALE,March-1-2017,Single Family Residential,808 Duncan Pl SE,Leesburg,VA,20175,580000,4,3,Tavistock Farms,2964,11326,1997,83,196,64,Sold,,,http://www.redfin.com/VA/Leesburg/808-Duncan-Pl-SE-20175/home/12007527,MRIS,LO9846813,N,Y,39.087597,-77.54928
PAST SALE,May-8-2017,Single Family Residential,820 Santmyer Dr SE,Leesburg,VA,20175,570500,4,2.5,Tavistock Farms,2932,9148,1998,15,195,62,Sold,,,http://www.redfin.com/VA/Leesburg/820-Santmyer-Dr-SE-20175/home/12008211,MRIS,LO9906908,N,Y,39.0822975,-77.5446497
MLS Listing,,Single Family Residential,603 Buchanan Ct SE,Leesburg,VA,20175,645000,4,3.5,Tavistock Farms,4073,14810,1997,19,158,64,Active,,,http://www.redfin.com/VA/Leesburg/603-Buchanan-Ct-SE-20175/home/12008329,MRIS,LO9935934,N,Y,39.0834446,-77.5460769
PAST SALE,March-29-2017,Single Family Residential,308 Ariel Dr NE,Leesburg,VA,20176,540000,4,3.5,Manors Of Leesburg,2408,10890,1993,55,224,,Sold,,,http://www.redfin.com/VA/Leesburg/308-Ariel-Dr-NE-20176/home/12008945,MRIS,LO9855349,N,Y,39.1202721,-77.5571561
PAST SALE,April-26-2017,Single Family Residential,219 King St,Leesburg,VA,20176,1120000,4,4,King Street,3850,24829,1912,27,291,,Sold,,,http://www.redfin.com/VA/Leesburg/219-N-King-St-20176/home/12009033,MRIS,LO9880664,N,Y,39.118426,-77.56371
